sample.samplingPoint,longitude,latitude,area,subarea
SO-G0003728,-1.309966,50.871618,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-9
SO-G0003661,-1.393109,50.882241,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-9
SO-G0003873,-1.439884,50.905316,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-9
SO-G0017018,-1.385537,50.906751,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-9
SO-G0006294,-0.265914,51.048814,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-J
SO-E0004922,0.108727,51.385537,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-D
SO-5GWQ0826,0.543683,51.30164,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-5GWQ0406,0.260036,51.409353,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-D
SO-5GWQ0457,0.917133,51.121342,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-5GWQ0764,-0.714634,50.798856,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-J
SO-F0010080,0.598024,50.844378,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-9
SO-F0017528,-0.253865,50.817969,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-9
SO-G0006726,-1.136179,51.0861,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K
SO-5GWQ0376,-0.44806,50.904395,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-J
SO-5GWQ0479,0.22141,51.121894,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-5GWQ0559,0.10075,51.122389,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-5GWQ0399,0.06196,50.803191,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-H
SO-5GWQ0470,0.283745,51.255307,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-5GWQ0481,-1.180514,50.675729,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K
SO-5GWQ0402,0.830763,51.324747,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-5GWQ0478,0.313036,51.157242,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-5GWQ0488,0.476495,51.022333,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-5GWQ0745,0.706242,51.211194,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-E0004692,0.1819,51.056428,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-5GWQ0489,0.748255,50.99017,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
